Company Name,Assigned To,Account Type,Prospect Score,Account Notes,Drop Notes,Website,LinkedIn URL,Revenue Estimate,Employees,Head Office,Country,Segmentation,Activity,Generation,Interests,Location,SalesforceID,DropNotes,Account Notes
Vanguard Innovations,Jordan Green,Prospect,74,Referred by analyst,Nurture,www.castillo.com,https://linkedin.com/company/76,$50 mil. - $100 mil.,1809,"Amandahaven, Vermont",Australia,Enterprise,1,9,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Summit Solutions,Blake Davis,Suspect,77,Referred by analyst,Do not call,www.wilson.com,https://linkedin.com/company/76,$10 mil. - $25 mil.,790,"New Melissaside, Minnesota",United States,Mid-Market,2,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Valiant Consulting,Morgan Lee,Customer,79,VC-backed,Wrong fit,www.campbell.com,https://linkedin.com/company/914,$50 mil. - $100 mil.,1846,"South Edward, Texas",Germany,Enterprise,3,9,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Summit Consulting,Avery Reid,Suspect,78,New lead,Lost to competition,www.sullivan-rodriguez.com,https://linkedin.com/company/517,$50 mil. - $100 mil.,176,"Mckenzieside, Delaware",France,Enterprise,4,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Vanguard Corporation,Jordan Green,Prospect,86,Needs follow up,Out of territory,www.campbell.com,https://linkedin.com/company/111,$25 mil. - $50 mil.,1285,"Thompsonton, Montana",Australia,Mid-Market,1,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Momentum Networks,Morgan Lee,Prospect,87,VC-backed,Lost to competition,www.parker.com,https://linkedin.com/company/768,$25 mil. - $50 mil.,508,"South Johnshire, Wyoming",United States,SMB,2,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Cypress Analytics,Taylor Smith,Suspect,77,Top 10 account,Nurture,www.leach-gibbs.com,https://linkedin.com/company/834,$25 mil. - $50 mil.,1095,"Fosterberg, Pennsylvania",Germany,Enterprise,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Momentum Partners,Avery Reid,Prospect,76,VC-backed,Do not call,www.wilkerson.com,https://linkedin.com/company/529,$250 mil. - $500 mil.,533,"North Cheryl, Nebraska",Germany,SMB,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Vertex Networks,Taylor Smith,Suspect,74,New lead,Wrong fit,www.hayes.com,https://linkedin.com/company/521,$25 mil. - $50 mil.,542,"Gibsonton, Tennessee",United Kingdom,SMB,5,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Valiant Partners,Sydney Wong,Prospect,65,Budget review pending,Do not call,www.mullins.com,https://linkedin.com/company/198,$10 mil. - $25 mil.,431,"Valenciaburgh, Washington",Canada,Mid-Market,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Valiant Corporation,Sydney Wong,Prospect,67,Referred by analyst,Budget freeze,www.oliver-shea.com,https://linkedin.com/company/71,$25 mil. - $50 mil.,409,"Jasonview, Alaska",United States,Mid-Market,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
NexGen Consulting,Avery Reid,Customer,69,Repeat outreach,Budget freeze,www.olson.com,https://linkedin.com/company/253,$50 mil. - $100 mil.,1358,"West Timothy, New Hampshire",France,Mid-Market,7,7,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Atlas Networks,Jordan Green,Suspect,85,Strong pipeline,Nurture,www.jones.com,https://linkedin.com/company/814,$10 mil. - $25 mil.,1897,"South Elijahbury, Alabama",Australia,Enterprise,1,1,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Summit Corporation,Avery Reid,Customer,77,Budget review pending,Do not call,www.clark.com,https://linkedin.com/company/832,$50 mil. - $100 mil.,1066,"Cameronfurt, Utah",Australia,Enterprise,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Vanguard Corporation,Jordan Green,Customer,81,Top 10 account,Wrong fit,www.brooks.com,https://linkedin.com/company/471,$25 mil. - $50 mil.,1565,"Gabrielstad, Ohio",France,SMB,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Atlas Consulting,Blake Davis,Suspect,79,Top 10 account,Budget freeze,www.scott.com,https://linkedin.com/company/274,$50 mil. - $100 mil.,927,"East Stevenville, Texas",Germany,SMB,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Radiant Partners,Avery Reid,Customer,90,Upsell potential,Nurture,www.saunders-cochran.com,https://linkedin.com/company/802,$50 mil. - $100 mil.,1932,"Marystad, North Dakota",Germany,SMB,1,1,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Radiant Analytics,Taylor Smith,Customer,60,Needs follow up,Budget freeze,www.rhodes-hunter.com,https://linkedin.com/company/626,$25 mil. - $50 mil.,820,"Jamesfurt, Illinois",Germany,Enterprise,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Momentum Services,Jordan Green,Prospect,60,Strong pipeline,Lost to competition,www.smith-rojas.com,https://linkedin.com/company/693,$100 mil. - $250 mil.,1618,"Thompsonport, Texas",United Kingdom,Enterprise,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Momentum Analytics,Morgan Lee,Customer,61,VC-backed,Do not call,www.anthony.com,https://linkedin.com/company/401,$10 mil. - $25 mil.,1691,"North Richard, Connecticut",France,Mid-Market,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Premier Analytics,Jordan Green,Suspect,71,VC-backed,Nurture,www.andrews-cannon.com,https://linkedin.com/company/409,$50 mil. - $100 mil.,1164,"Taylorberg, New Mexico",Germany,SMB,5,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
